site_no,station_nm,date,gage_ht
06794000,"Beaver Creek at Genoa, Nebr.",2019-03-24 22:45:00,5.84
06794650,"Clear Creek 1.75 mile W of Polk County line, Nebr.",2019-03-24 22:45:00,6.91
06795500,"Shell Creek near Columbus, Nebr.",2019-03-24 22:30:00,3.82
06796000,"Platte River at North Bend, Nebr.",2019-03-24 22:15:00,4.07
06796500,"Platte River near Leshara, Nebr.",2019-03-24 22:00:00,6.03
06797500,"Elkhorn River at Ewing, Nebr.",2019-03-24 22:45:00,6.21
06799000,"Elkhorn River at Norfolk, Nebr.",2019-03-24 22:15:00,4.33
06799100,"North Fork Elkhorn River near Pierce, Nebr.",2019-03-24 22:45:00,6.93
06799315,"Elkhorn River at Pilger, Nebr.",2019-03-24 22:45:00,8.33
06799350,"Elkhorn River at West Point, Nebr.",2019-03-24 22:30:00,6.27
06799350,"Elkhorn River at West Point, Nebr.",2019-03-24 22:30:00,5.89
06799445,"Logan Creek at Wakefield, Nebr.",2019-03-24 22:45:00,10.77
06799500,"Logan Creek near Uehling, Nebr.",2019-03-24 22:15:00,6.17
06800000,"Maple Creek near Nickerson, Nebr.",2019-03-24 21:45:00,2.95
06800500,"Elkhorn River at Waterloo, Nebr.",2019-03-24 22:15:00,6.47
06801000,"Platte River near Ashland, Nebr.",2019-03-24 22:15:00,17.57
06803000,"Salt Creek at Roca, Nebr.",2019-03-24 22:25:00,3.76
06803080,"Salt Creek at Pioneers Boulevard at Lincoln, Nebr.",2019-03-24 22:40:00,6.51
06803093,"Haines Branch at SW 56th St at Lincoln, Nebr.",2019-03-24 22:35:00,3.95
06803170,"Middle Creek at SW 63rd St at Lincoln, Nebr.",2019-03-24 22:15:00,2.74
06803300,"Antelope Creek at 27th Street at Lincoln, Nebr.",2019-03-24 22:10:00,3.77
06803420,"North Oak Creek near Touhy, Nebr.",2019-03-24 22:00:00,5.38
06803430,"North Oak Creek at Valparaiso, Nebr.",2019-03-24 22:30:00,5.97
06803430,"North Oak Creek at Valparaiso, Nebr.",2019-03-24 22:30:00,5.78
06803495,"Salt Creek at Fairgrounds at Lincoln, Nebr.",2019-03-24 22:35:00,11.17
06803500,"Salt Creek at 27th Street at Lincoln, Nebr.",2019-03-24 22:25:00,3.96
06803502,"Deadmans Run at 38th Street at Lincoln, Nebr.",2019-03-24 22:25:00,8.08
06803510,"Little Salt Creek near Lincoln, Nebr.",2019-03-24 22:45:00,2.29
06803513,"Salt Creek at 70th Street at Lincoln, Nebr.",2019-03-24 22:25:00,5.96
06803520,"Stevens Creek near Lincoln, Nebr.",2019-03-24 22:30:00,1.29
06803530,"Rock Creek near Ceresco, Nebr.",2019-03-24 22:45:00,5.92
06803555,"Salt Creek at Greenwood, Nebr.",2019-03-24 22:15:00,4.83
06804000,"Wahoo Creek at Ithaca, Nebr.",2019-03-24 22:15:00,11.11
06804700,"Wahoo Creek at Ashland, Nebr.",2019-03-24 22:45:00,8.8
06805000,"Salt Creek Near Ashland, Nebr.",2019-03-24 22:45:00,10.29
06805500,"Platte River at Louisville, Nebr.",2019-03-24 22:15:00,5.39
06805600,"Missouri River at Plattsmouth, NE",2019-03-24 22:15:00,30.5
06806500,"Weeping Water Creek at Union, Nebr.",2019-03-24 22:15:00,8.78
06806500,"Weeping Water Creek at Union, Nebr.",2019-03-24 22:15:00,8.61
06807000,"Missouri River at Nebraska City, NE",2019-03-24 22:45:00,22.33
06810070,"Missouri River at Brownville, NE",2019-03-24 22:15:00,39.4
06811500,"Little Nemaha River at Auburn, Nebr.",2019-03-24 22:15:00,6.17
06813500,"Missouri River at Rulo, NE",2019-03-24 22:45:00,25.01
06814500,"North Fork Big Nemaha River at Humboldt, Nebr.",2019-03-24 22:00:00,3.33
06815000,"Big Nemaha River at Falls City, Nebr.",2019-03-24 22:45:00,5.67
06821500,"Arikaree River at Haigler, Nebr.",2019-03-24 21:00:00,5.15
06823000,North Fork Republican River at Colorado-Nebraska,2019-03-24 21:30:00,1.45
06823000,North Fork Republican River at Colorado-Nebraska,2019-03-24 21:30:00,1.5
06823500,"Buffalo Creek near Haigler, Nebr.",2019-03-24 21:45:00,1.43
06824000,"Rock Creek at Parks, Nebr.",2019-03-24 21:45:00,1.19
06824500,"Republican River at Benkelman, Nebr.",2019-03-24 21:30:00,3.77
06824500,"Republican River at Benkelman, Nebr.",2019-03-24 21:30:00,3.74
06827500,"South Fork Republican River near Benkelman, Nebr.",2019-03-24 21:30:00,1.75
06828500,"Republican River at Stratton, Nebr.",2019-03-24 22:45:00,6.76
06828500,"Republican River at Stratton, Nebr.",2019-03-24 22:45:00,6.77
06834000,"Frenchman Creek at Palisade, Nebr.",2019-03-24 22:45:00,2.57
06835500,"Frenchman Creek at Culbertson, Nebr.",2019-03-24 22:15:00,3.79
06836500,"Driftwood Creek near McCook, Nebr.",2019-03-24 22:30:00,2.89
06837000,"Republican River at McCook, Nebr.",2019-03-24 22:30:00,4.47
06838000,"Red Willow Creek near Red Willow, Nebr.",2019-03-24 22:30:00,4.85
06843500,"Republican River at Cambridge, Nebr.",2019-03-24 22:45:00,3.33
06844500,"Republican River near Orleans, Nebr.",2019-03-24 22:45:00,3.12
06844500,"Republican River near Orleans, Nebr.",2019-03-24 22:45:00,3.06
06847000,"Beaver Creek near Beaver City, Nebr.",2019-03-24 22:30:00,3.3
06847500,"Sappa Creek near Stamford, Nebr.",2019-03-24 22:00:00,8.13
06853020,"Republican River at Guide Rock, Nebr.",2019-03-24 22:30:00,5.62
06853500,"REPUBLICAN R NR HARDY, NE",2019-03-24 22:30:00,3.88
06880800,"West Fork Big Blue River near Dorchester, Nebr.",2019-03-24 22:00:00,6.13
06881380,"Turkey Creek near DeWitt, Nebr.",2019-03-24 22:45:00,13.91
06881380,"Turkey Creek near DeWitt, Nebr.",2018-12-11 01:00:00,11.36
06882000,"Big Blue River at Barneston, Nebr.",2019-03-24 22:00:00,8.35
06882000,"Big Blue River at Barneston, Nebr.",2019-03-24 22:00:00,8.38
06883000,"Little Blue River near Deweese, Nebr.",2019-03-24 22:15:00,3.81
06883000,"Little Blue River near Deweese, Nebr.",2019-03-24 22:15:00,3.82
06883530,"Little Blue River at County Line nr Deshler, Nebr.",2019-03-24 22:45:00,8.92
06883530,"Little Blue River at County Line nr Deshler, Nebr.",2019-03-24 22:45:00,7.67
06884000,"Little Blue River near Fairbury, Nebr.",2019-03-24 22:45:00,8.85
06884025,"Little Blue River at Hollenberg, KS",2019-03-24 22:00:00,4.09
